Gene,logFC,p_value,adj_p,ID,Gene symbol,Gene title
223173_at,1.237949627644796,1.4785969763663815e-09,6.132245013153552e-08,223173_at,SPNS1,sphingolipid transporter 1 (putative)
210694_s_at,1.5298530696617636,1.4819767973912135e-09,6.1407619036659e-08,210694_s_at,MID1,midline 1
211678_s_at,0.7740402814468368,1.4829007840069724e-09,6.1407619036659e-08,211678_s_at,RNF114,ring finger protein 114
1566558_x_at,1.1514692191453646,1.4961057346340264e-09,6.190747148642196e-08,1566558_x_at,BAIAP2-AS1,BAIAP2 antisense RNA 1 (head to head)
235629_at,1.4295402739615408,1.505507381171103e-09,6.223374489990368e-08,235629_at,,
200949_x_at,-0.9903184943682088,1.5062712217661142e-09,6.223374489990368e-08,200949_x_at,SNORD54///RPS20,"small nucleolar RNA, C/D box 54///ribosomal protein S20"
205714_s_at,0.5634371049581395,1.5080539601440095e-09,6.22587888061909e-08,205714_s_at,ZMYND10,zinc finger MYND-type containing 10
219874_at,2.2657970826713805,1.5091587898384094e-09,6.22587888061909e-08,219874_at,SLC12A8,solute carrier family 12 member 8
243435_at,0.9866600270927592,1.526212061461851e-09,6.275923044595706e-08,243435_at,LOC101927338///KCNQ1OT1,uncharacterized LOC101927338///KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)
1553910_at,1.1772107083851813,1.525142452130005e-09,6.275923044595706e-08,1553910_at,NBPF4,neuroblastoma breakpoint family member 4
219178_at,0.95187378220984,1.5256780078594686e-09,6.275923044595706e-08,219178_at,QTRT2,queuine tRNA-ribosyltransferase accessory subunit 2
202642_s_at,1.0755517935378975,1.5270389349792223e-09,6.275923044595706e-08,202642_s_at,TRRAP,transformation/transcription domain associated protein
228559_at,0.9574543702019228,1.5245417590575042e-09,6.275923044595706e-08,228559_at,CENPN,centromere protein N
243561_at,1.9444137306674216,1.531107273787445e-09,6.28790849481151e-08,243561_at,,
223582_at,0.966072577589932,1.5446966094595194e-09,6.338947086292565e-08,223582_at,ADGRV1,adhesion G protein-coupled receptor V1
241387_at,2.2541706285876684,1.5477559234318136e-09,6.346729567617202e-08,241387_at,,
218463_s_at,0.8303192103291819,1.551195049148967e-09,6.356056650713326e-08,218463_s_at,MUS81,MUS81 structure-specific endonuclease subunit
208436_s_at,1.9026099083591608,1.5544366278687035e-09,6.364560893656862e-08,208436_s_at,IRF7,interferon regulatory factor 7
1570496_at,0.3813450045876698,1.592057526112445e-09,6.513711223215228e-08,1570496_at,,
209171_at,0.8686761945859729,1.6105435803289767e-09,6.584408844252825e-08,209171_at,ITPA,inosine triphosphatase
208621_s_at,1.8765096292126715,1.6129735159282792e-09,6.589407299839038e-08,208621_s_at,EZR,ezrin
217492_s_at,-2.0173222754242035,1.618450278397852e-09,6.606836031763378e-08,217492_s_at,PTENP1///PTEN,phosphatase and tensin homolog pseudogene 1///phosphatase and tensin homolog
201430_s_at,0.4210635492958117,1.6214454499202476e-09,6.614115935067056e-08,201430_s_at,DPYSL3,dihydropyrimidinase like 3
217656_at,1.774431982079752,1.6345264798083215e-09,6.662495947831098e-08,217656_at,,
227793_at,0.3453635829875554,1.6440715422970627e-09,6.691407957273035e-08,227793_at,MIRLET7D,microRNA let-7d
217610_at,1.0756089858308815,1.643913783086792e-09,6.691407957273035e-08,217610_at,SPDYE2,speedy/RINGO cell cycle regulator family member E2
209975_at,0.5264235652731903,1.6456229976165935e-09,6.692731563853656e-08,209975_at,CYP2E1,cytochrome P450 family 2 subfamily E member 1
244014_x_at,0.6120324174632366,1.664477414650305e-09,6.764371765763143e-08,244014_x_at,,
221806_s_at,1.3458679513054292,1.669463514718398e-09,6.779586991801744e-08,221806_s_at,SETD5,SET domain containing 5
243011_at,0.7383115050350684,1.6720093719593491e-09,6.784877287150135e-08,243011_at,NXPE3,neurexophilin and PC-esterase domain family member 3
225418_at,1.8830373336753352,1.6761246968745575e-09,6.796523761568833e-08,225418_at,NECTIN2,nectin cell adhesion molecule 2
55093_at,1.6478163273557689,1.6923229000860095e-09,6.857111474669213e-08,55093_at,CHPF2,chondroitin polymerizing factor 2
229372_at,0.7719871416702477,1.702998047717628e-09,6.895247065755225e-08,229372_at,GOLT1A,golgi transport 1A
228908_s_at,0.89778659043948,1.7159491789948932e-09,6.93252902478207e-08,228908_s_at,LOC642852,uncharacterized LOC642852
232279_at,1.0856501639213805,1.714215487255375e-09,6.93252902478207e-08,232279_at,JADE2,jade family PHD finger 2
222077_s_at,1.6933148744191184,1.716016547111632e-09,6.93252902478207e-08,222077_s_at,RACGAP1,Rac GTPase activating protein 1
201639_s_at,1.634697609712112,1.7243443215428234e-09,6.961019876145398e-08,201639_s_at,MIR6849///MIR1234///MIR939///CPSF1,microRNA 6849///microRNA 1234///microRNA 939///cleavage and polyadenylation specific factor 1
223811_s_at,1.1564178112709298,1.7313388729041243e-09,6.984090491074223e-08,223811_s_at,GET4///SUN1,golgi to ER traffic protein 4///Sad1 and UNC84 domain containing 1
217801_at,-0.5774306513913956,1.7329223340607455e-09,6.985315219401879e-08,217801_at,ATP5E,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"
225001_at,1.9567913605599545,1.7345540431844567e-09,6.986732481399592e-08,225001_at,RAB3D,"RAB3D, member RAS oncogene family"
