Gene,logFC,p_value,adj_p
1559401_a_at,1.6242911266091644,2.7421243807487087e-19,2.8781232034016112e-16
1556432_at,0.912844192651018,3.509065944902149e-19,3.613609626543668e-16
223233_s_at,2.4888052578619897,3.9313688560924905e-19,3.9735218666050383e-16
236534_at,2.603686929804863,4.343685497896123e-19,4.3104365598122275e-16
219411_at,1.8419316666860874,5.286940528988309e-19,5.15278441306523e-16
1553015_a_at,1.354663936759616,7.44130351172912e-19,7.125243936257257e-16
226566_at,1.617754978513008,7.782446084657337e-19,7.323415945767461e-16
231815_at,1.3289801984106329,8.596548870533741e-19,7.952390522116289e-16
235152_at,1.5432452183371037,9.920066798587839e-19,9.023788763335428e-16
235542_at,2.276297726359731,1.0110019110294588e-18,9.045815295422433e-16
204967_at,1.174013983019797,1.2589600120014108e-18,1.1082706208875e-15
240240_at,0.8270612539615363,1.6168334269852432e-18,1.4007166922448824e-15
222338_x_at,1.4336416641804322,1.6744858862558678e-18,1.4279963310306095e-15
205713_s_at,3.433592449523757,1.8880633900009092e-18,1.5853632578901481e-15
206546_at,2.1962704917494364,2.406858023332229e-18,1.990362182658329e-15
242922_at,0.7696673260197961,2.9135689505175994e-18,2.3734280559746277e-15
211048_s_at,1.529249144807693,3.673671676857617e-18,2.9486077419295865e-15
210052_s_at,2.398062435375567,3.77823731672732e-18,2.9885857175313098e-15
229691_at,2.0030827092392536,4.093655746027772e-18,3.191823385177854e-15
225263_at,1.2924404190967156,4.294735065027994e-18,3.3014414804811673e-15
240666_at,1.3809407757115415,4.649972236634181e-18,3.5248727042119026e-15
34260_at,1.378088852216064,5.462871034878164e-18,3.9807001617553545e-15
244349_at,0.9275295337058838,5.470098611767375e-18,3.9807001617553545e-15
213681_at,1.2214041368303161,5.3678905688620024e-18,3.9807001617553545e-15
230792_at,1.570615526442873,5.808362069926317e-18,4.171244650190901e-15
230491_at,2.2235213766408384,6.09558870369185e-18,4.320664102062305e-15
1556474_a_at,2.494717577816175,6.534166768385999e-18,4.572157539124865e-15
240601_at,1.4235125919988665,6.768067598093037e-18,4.617429517953998e-15
242196_at,0.9584531341911751,6.741372487640098e-18,4.617429517953998e-15
204971_at,-2.3794179084536236,7.60411278624779e-18,5.12376384889652e-15
210511_s_at,3.7257342346792974,8.20816728979883e-18,5.397791943472865e-15
235008_at,1.6964122797861987,8.208591790033671e-18,5.397791943472865e-15
1558290_a_at,2.185915718686087,1.1082117847011517e-17,7.200606071095733e-15
234057_at,1.9068693448778293,1.1574126513847591e-17,7.425004771694362e-15
238134_at,1.8050799811334812,1.169956229256152e-17,7.425004771694362e-15
205774_at,2.9012863200118764,1.321950648148387e-17,8.293189014401243e-15
225237_s_at,1.3123146593240973,1.3713421656868304e-17,8.505282279661536e-15
1554501_at,1.3866927480820137,1.4160128024910817e-17,8.683658735636039e-15
235856_at,2.6561777778993214,1.5219287859509728e-17,9.229483467602016e-15
222771_s_at,1.4307931132494334,1.6254989602946477e-17,9.749242610321054e-15
204922_at,1.5244849908766982,1.6569733207512788e-17,9.82999422535696e-15
208757_at,0.9681276862658406,1.8030760112044255e-17,1.0581729636078101e-14
1557527_at,1.107559735378394,1.9725156029255255e-17,1.1452971180007688e-14
233014_at,1.4414383480480768,2.0230264856861096e-17,1.1622606585501282e-14
219562_at,2.413103722678167,2.2666577182763587e-17,1.288665745893806e-14
239153_at,1.6064145882720569,2.8628019855079603e-17,1.6108130883199894e-14
222034_at,1.213065469558824,3.037146568502893e-17,1.6914736996155038e-14
1568838_at,2.1788036420197976,3.4590589108542825e-17,1.9069896595506655e-14
1552621_at,1.7764425040582594,3.702886322830665e-17,2.0209983261377487e-14
206346_at,2.232246442957014,4.2023455614544854e-17,2.2708892910754887e-14
201786_s_at,1.4124066443173007,4.443558858012651e-17,2.377696067759534e-14
244473_at,1.6625522707115383,4.884986953703137e-17,2.5885213878268303e-14
201896_s_at,1.8638583709259038,4.9385640048182005e-17,2.5917488924901208e-14
202580_x_at,1.5276287921368783,5.236942179154559e-17,2.6964817660007235e-14
1552930_at,1.4883748598127857,5.223060279137449e-17,2.6964817660007235e-14
210108_at,2.1373339722647047,5.859394246509202e-17,2.988783911964726e-14
239022_at,0.9741012328438909,6.155579725535088e-17,3.1107906096294406e-14
223232_s_at,3.0740049815435544,6.43159853566802e-17,3.2204607016350904e-14
1557383_a_at,1.7079388252285046,6.642968322389606e-17,3.296059709706384e-14
1554408_a_at,1.5361540586804296,7.172725546830798e-17,3.5268485371214244e-14
237107_at,1.7341372108868764,8.060399474821489e-17,3.927933419073947e-14
203452_at,1.236998768086539,8.142172249052944e-17,3.932669196292572e-14
200058_s_at,1.0722777434609743,9.143997243447865e-17,4.3778089960538685e-14
215631_s_at,1.0359502773687765,1.0097546060911724e-16,4.792295360508704e-14
219053_s_at,1.5052613979360876,1.4074410678356333e-16,6.622131555293191e-14
214112_s_at,1.0331630824377838,1.430440107846954e-16,6.672819713348625e-14
230000_at,2.7440472142669696,1.4455285192768549e-16,6.686059411323005e-14
239886_at,0.8121586799326921,1.5825608018731726e-16,7.25836857188537e-14
203956_at,1.3281432589010151,1.6634222738264632e-16,7.565660356931211e-14
242424_at,0.7073750587409506,1.717827509584529e-16,7.748537821951571e-14
201013_s_at,1.6296230837647068,1.7334786250109663e-16,7.755043432333896e-14
201287_s_at,4.353979781780542,1.817331134692705e-16,8.064074471576679e-14
1556054_at,0.9725074267251101,1.8702415163243306e-16,8.231928364473034e-14
37892_at,5.376979471180996,1.9421443598957532e-16,8.480023761500026e-14
225777_at,2.412374771354072,2.04011358661616e-16,8.837092019359e-14
235701_at,1.9236759097845022,2.1764711290119129e-16,9.353513208688282e-14
232202_at,1.525212504511877,2.332568886532614e-16,9.946037285786214e-14
243857_at,1.1021198862941155,3.5367901370118715e-16,1.496391231689697e-13
226118_at,0.968137523327488,3.5910954838047715e-16,1.5076800031583126e-13
213947_s_at,1.8253806877777157,3.67458280101427e-16,1.5309546160042582e-13
216251_s_at,1.2091169557488701,3.864548759488171e-16,1.597903081394734e-13
229305_at,1.4454963130311085,4.166035149156185e-16,1.7096092662089882e-13
1555870_at,1.264738873957577,4.658809139739429e-16,1.8975607764017785e-13
241863_x_at,0.9735766206809946,4.74426576753149e-16,1.9180539357488978e-13
203022_at,1.4464730949264695,5.250668620326215e-16,2.1071782546234152e-13
201074_at,1.2198848959705932,5.746161935867328e-16,2.272607045635528e-13
238617_at,1.987646929533935,5.74107373561837e-16,2.272607045635528e-13
202779_s_at,1.4565309650084841,6.240216101286738e-16,2.4502500330368985e-13
229899_s_at,2.193119513794681,6.882066736120352e-16,2.663945534685906e-13
222904_s_at,1.6422208298947938,6.863388044312057e-16,2.663945534685906e-13
243205_at,1.2210090778608622,7.736006175822565e-16,2.9734047962691533e-13
222361_at,1.3776342156216064,8.110705382172115e-16,3.0956236996753277e-13
244375_at,1.3733578950316732,8.321764071535128e-16,3.1541219531966374e-13
236934_at,2.0365554760848417,8.418010547712925e-16,3.1685972254043017e-13
212109_at,1.3838650250401558,1.0267582811318332e-15,3.838317823691392e-13
223284_at,2.3232288710039573,1.0843709737607048e-15,4.026114515434388e-13
223822_at,1.4097168946928744,1.130264832961204e-15,4.168157048526321e-13
241838_at,2.166635149981336,1.1742840296552829e-15,4.301426043929912e-13
220969_s_at,1.4972108878648216,1.4007440671033274e-15,5.096747362562167e-13
226424_at,1.7747874307369909,1.4527453527194949e-15,5.25095288781969e-13
236429_at,1.029265303850679,1.4625808038719386e-15,5.251723532534641e-13
235871_at,0.7909228332381195,1.537561583691636e-15,5.484874096490575e-13
229795_at,1.460425422432694,1.5804296334940257e-15,5.601186296524053e-13
224888_at,1.5498521506838205,1.6577558287725063e-15,5.837332605069331e-13
227894_at,2.7700605414909534,1.6977909215953644e-15,5.902148452850535e-13
235736_at,1.094876866575226,1.696971112283365e-15,5.902148452850535e-13
241885_at,1.1031405592986459,1.79129296056714e-15,6.128662836129312e-13
228236_at,0.9491656465214939,1.796636167355008e-15,6.128662836129312e-13
213641_at,0.7552811842234188,1.7955437410469073e-15,6.128662836129312e-13
234032_at,2.891007768775451,1.8184286840951447e-15,6.164473239082541e-13
1557238_s_at,0.7353709790090495,1.8617008114141595e-15,6.272207937418112e-13
230884_s_at,1.29593730428733,1.9428422966581152e-15,6.465755470079468e-13
232510_s_at,1.5412772538953599,1.938354591197989e-15,6.465755470079468e-13
244264_at,1.8177697935854078,1.9552697902571335e-15,6.467676962572369e-13
201460_at,1.2941779477109678,2.117375673630301e-15,6.961701619943867e-13
230763_at,1.4893476102002259,2.3185470547630056e-15,7.577483814485634e-13
233317_at,0.9998625488829194,2.8525875123976943e-15,9.218098013158278e-13
242243_at,0.5165455162358592,2.8543186284537076e-15,9.218098013158278e-13
228387_at,1.1441948789004526,2.9433528167109966e-15,9.449720787251145e-13
229802_at,2.4615522667222853,3.028738667833729e-15,9.66698992699983e-13
1560763_at,1.0067341521713797,3.199890082208775e-15,1.0153883767260043e-12
226444_at,2.107562989759049,3.3122195519198024e-15,1.0449574041863057e-12
1556373_a_at,1.7394451581515833,3.4114366387774623e-15,1.0700735649875582e-12
221978_at,1.1331940131736449,3.5241302910581976e-15,1.0991057551752306e-12
201482_at,1.2480792622443424,4.099057739419336e-15,1.2711504111350449e-12
223339_at,1.801979329648757,4.196814976875017e-15,1.2941127944794439e-12
219598_s_at,-0.9837582026459284,4.377325118653037e-15,1.34219116657845e-12
209342_s_at,1.2237716804886904,4.4952397464887905e-15,1.364989990896611e-12
204413_at,0.622926030490949,4.5016984254271785e-15,1.364989990896611e-12
1557193_at,0.8219754339049787,4.5648536152722345e-15,1.368929370702985e-12
234709_at,1.4066684900933248,4.541356976043786e-15,1.368929370702985e-12
219499_at,1.462899103520925,4.593904204891358e-15,1.370113101632598e-12
209732_at,-2.0600321216108597,4.710229619932142e-15,1.3971718610123717e-12
202039_at,1.728303411009053,4.971420720988295e-15,1.4666766028692981e-12
206316_s_at,1.1915119044377818,5.2549334043031966e-15,1.5419839262014202e-12
229064_s_at,0.9012324258891393,5.32066689701252e-15,1.552923414823777e-12
241755_at,0.743243090650453,5.830383228886855e-15,1.6926408843054025e-12
1562235_s_at,3.0017595595695674,5.993868973531221e-15,1.730896162467516e-12
209603_at,4.439031404167422,6.284750968086765e-15,1.8053443320379345e-12
210117_at,1.5430735129869917,6.388706391483308e-15,1.8255979379097774e-12
218677_at,3.3253993683382363,6.5590625968088976e-15,1.856426814642344e-12
214092_x_at,1.2899589090073578,6.564619638065416e-15,1.856426814642344e-12
227232_at,3.2066707508229677,6.625491505690426e-15,1.8639829942735967e-12
235976_at,2.5408642481645902,6.912569015794851e-15,1.934774893913165e-12
219482_at,1.232570930240386,7.385350671591296e-15,2.0538506307975216e-12
202956_at,1.0337049478823523,7.413264703770896e-15,2.0538506307975216e-12
202718_at,1.9032166655995462,7.789958916847244e-15,2.1473139783969985e-12
241505_at,3.2006266266442314,9.136974576075912e-15,2.505964499435413e-12
212023_s_at,1.0236790603246586,9.641126651388513e-15,2.6310152575306684e-12
235804_at,0.8975895249264703,9.716043892874146e-15,2.6382684558665573e-12
226548_at,1.7776270981730784,9.953803769954091e-15,2.6894487918827936e-12
1566901_at,0.790013293434956,1.0388143369247408e-14,2.7929777189662772e-12
206595_at,1.5422306584281644,1.100605393284937e-14,2.944604988240126e-12
239639_at,1.4896177577556555,1.1163819236725792e-14,2.972244342054912e-12
215714_s_at,2.171966728645928,1.1344407117880511e-14,3.0056621169262155e-12
236742_at,1.3819840510226236,1.2686183597984932e-14,3.3288423778577866e-12
235095_at,1.9040906925497714,1.265359130550341e-14,3.3288423778577866e-12
228441_s_at,0.8600917987132353,1.341145547662359e-14,3.5023149687016213e-12
203713_s_at,2.770734090938915,1.4434163317520212e-14,3.74194295416019e-12
222621_at,1.596105697880093,1.4466185956646334e-14,3.74194295416019e-12
203228_at,3.8364385002573522,1.5880208228415437e-14,4.0883296457485195e-12
213201_s_at,2.4366474811645906,1.602844118490469e-14,4.107118739112268e-12
233273_at,1.1859071610118797,1.6572267890448123e-14,4.2266252766017196e-12
202220_at,1.8810257097437768,1.6723631579946477e-14,4.245391106985576e-12
211712_s_at,2.1290451140667424,1.7008834606837045e-14,4.297801777808144e-12
243329_at,2.9796641599711524,1.745205893834489e-14,4.389474307815326e-12
204828_at,1.064092240516401,1.8055546789071292e-14,4.520429762388633e-12
226132_s_at,1.498180909257918,1.8539151342993522e-14,4.620312060042208e-12
240192_at,1.6839714299298651,1.9297977034055045e-14,4.787564947916774e-12
225891_at,1.1695183899332577,1.9560641839345437e-14,4.830770456785677e-12
222668_at,2.4383925004298677,1.9776666945839435e-14,4.862120293860228e-12
238902_at,1.6668822918880108,2.016467175453129e-14,4.935280805787279e-12
219494_at,0.948617175389141,2.045773853735467e-14,4.984655855492324e-12
227884_at,1.7663465956645927,2.1219092147437907e-14,5.147185912511172e-12
232696_at,1.4508725052138,2.1970071734515012e-14,5.305772323885375e-12
208988_at,1.5017115199807716,2.2167026214069376e-14,5.327542255435124e-12
210735_s_at,1.310925192199662,2.225543953240639e-14,5.327542255435124e-12
209529_at,2.511082413789028,2.2619840206955314e-14,5.391127767054209e-12
210056_at,1.23266905354751,2.3139635161873496e-14,5.491035423912581e-12
213651_at,1.1790225872228501,2.3832376566588528e-14,5.630940608778508e-12
203744_at,2.60138961378337,2.3983412450373073e-14,5.6422011557280684e-12
1553292_s_at,1.5692269137268076,2.4859858514431337e-14,5.823288488665871e-12
215089_s_at,0.976022633544118,2.5302411025453312e-14,5.901625176744514e-12
33132_at,1.6843925308738728,2.7215072281823897e-14,6.320729489658155e-12
227272_at,1.103894151209845,2.7566672442209128e-14,6.375260233997169e-12
223802_s_at,1.389840827926471,2.8070484599181644e-14,6.464383877378628e-12
230028_at,0.4077820496544122,3.372891516499507e-14,7.734833868866664e-12
219010_at,1.929621969863688,3.609212240097347e-14,8.242142044028163e-12
214196_s_at,0.8363302147624445,3.7193740645622577e-14,8.45526205457467e-12
218900_at,1.3238942822522617,3.7335205026704324e-14,8.45526205457467e-12
225898_at,2.076031524786197,3.887642511620004e-14,8.767919034781329e-12
227371_at,1.7208795827924197,3.9191555301528505e-14,8.802616859268001e-12
219036_at,0.7459298327058828,4.037893312019837e-14,9.032138486751257e-12
218451_at,2.469852600743214,4.2180495929508603e-14,9.396609336067959e-12
214059_at,1.392013918526021,4.2642788005272694e-14,9.46097856316983e-12
228303_at,3.732812261079188,4.3911222299479185e-14,9.702957902361435e-12
41329_at,0.956788006390271,4.411022410911733e-14,9.707628716336752e-12
236375_at,0.6579017841397055,4.4906448137875774e-14,9.843168806896071e-12
225822_at,3.134733855465497,4.521116659713515e-14,9.870321046820158e-12
230085_at,1.3239679194751117,4.5631210253487256e-14,9.890061391468806e-12
201286_at,4.637287526227944,4.5664000268420807e-14,9.890061391468806e-12
210150_s_at,2.006870986598982,4.6266989206435326e-14,9.981051398806458e-12
227804_at,1.682239030193439,4.681896664947293e-14,1.0060363703785759e-11
202573_at,0.7683013283291844,4.7078210058579025e-14,1.0076398536420332e-11
213564_x_at,-2.4135165159966085,4.7635609246788345e-14,1.0155874676095552e-11
1564407_a_at,0.48348546292024963,5.081002250384326e-14,1.0790506685748099e-11
243806_at,1.5835799647867672,5.1803379196336904e-14,1.0919941740459929e-11
231849_at,1.2189889004920822,5.1819654276903594e-14,1.0919941740459929e-11
232375_at,1.423170311838799,5.279453949035509e-14,1.1082589118631118e-11
219888_at,1.2196634662771473,5.344427267399488e-14,1.1175996008712515e-11
202525_at,3.8532908482647064,5.513194025990617e-14,1.1484909036051218e-11
226884_at,1.5956451199802015,5.544379072732696e-14,1.150595685972159e-11
202596_at,0.9837326962952506,5.686399505062717e-14,1.1755984794955226e-11
210582_s_at,1.3063613244309957,5.875925958330783e-14,1.2083690827469925e-11
243878_at,0.7557569855978499,5.88919137416772e-14,1.2083690827469925e-11
227558_at,2.558469870396495,5.933289368056267e-14,1.2128576794724457e-11
228032_s_at,1.2828663428608627,6.003937098107447e-14,1.2227197122298743e-11
212284_x_at,-0.31402940489253517,6.297489570861582e-14,1.2728261976433729e-11
238982_at,1.3359218261380073,6.282414164102005e-14,1.2728261976433729e-11
225150_s_at,2.445478585967196,6.319938063382511e-14,1.2728261976433729e-11
226584_s_at,1.9100167504892553,6.354927681926742e-14,1.2751676395289694e-11
34726_at,2.427154234354636,6.619986191128445e-14,1.323488008518679e-11
208796_s_at,-1.4257519329530552,7.15464102173098e-14,1.4251574902374275e-11
230493_at,2.386555309415723,7.27395147371087e-14,1.4436545363042385e-11
233388_at,1.7201996804864286,7.369879576058504e-14,1.457393686165569e-11
228320_x_at,1.754869278090494,7.584068072477902e-14,1.4943352033493553e-11
205182_s_at,0.7559302485820156,7.771573549204324e-14,1.5257723479928878e-11
41660_at,3.894226023660633,7.80955465176823e-14,1.5277336320389186e-11
201933_at,0.6914646858947968,7.978604636749895e-14,1.5552295088184734e-11
231926_at,0.7034033294813344,8.043671846381492e-14,1.562332974034361e-11
237554_at,0.6127043820084834,8.138424103502529e-14,1.5751313799470375e-11
239033_at,0.6188802566668548,8.389364453684164e-14,1.6179615636665298e-11
232269_x_at,1.325919397229069,8.542257015596894e-14,1.6416473438530383e-11
223278_at,2.893236508774321,8.809214452930098e-14,1.687010932022708e-11
226167_at,1.0205786540243218,8.958867504321182e-14,1.703714388565665e-11
220349_s_at,1.133157577460974,8.958102386492024e-14,1.703714388565665e-11
208829_at,1.8475435797087085,9.214222437853602e-14,1.7461911334569854e-11
212115_at,1.7738630306052023,1.0143144671707581e-13,1.9155802527236264e-11
222819_at,1.5267112774598424,1.0675991900691965e-13,2.00235382112669e-11
218797_s_at,1.241547110845021,1.0651966114660473e-13,2.00235382112669e-11
232046_at,2.168364666897627,1.1322587031423853e-13,2.116354375301652e-11
1552257_a_at,1.4743000342714963,1.1711904901039628e-13,2.1816520736991187e-11
1562497_at,1.762182470111426,1.1791972218946763e-13,2.1890954140744742e-11
201271_s_at,1.007604336825226,1.195363268744407e-13,2.2115841303322368e-11
204533_at,2.688500062221157,1.2425057164476475e-13,2.2910378208782484e-11
241397_at,2.021616274423077,1.2484089110002223e-13,2.2941720523057622e-11
229158_at,1.800886002549209,1.3033162947996164e-13,2.3870369145593378e-11
201558_at,1.429339356380659,1.3337990294474296e-13,2.4346962283682696e-11
228340_at,1.4754102334790735,1.470576799454023e-13,2.6754203712467038e-11
201614_s_at,1.0228765235458113,1.4863024015218897e-13,2.6950464708525988e-11
202357_s_at,3.0233612063438926,1.5170911380544374e-13,2.7417654709891766e-11
224218_s_at,3.0786554468269243,1.5666045444705408e-13,2.812622020811107e-11
228010_at,1.2461727178071245,1.5617693878062525e-13,2.812622020811107e-11
212285_s_at,2.3402847701057685,1.6783161675671185e-13,3.000909972383762e-11
205597_at,1.4944606156645928,1.6824757719075676e-13,3.000909972383762e-11
220638_s_at,0.9740529360395933,1.723585902811348e-13,3.064221335164188e-11
217884_at,1.3824389467935507,1.731603033141477e-13,3.068479283955476e-11
222608_s_at,3.3192663452302,1.7451294254970778e-13,3.0824407415600324e-11
207828_s_at,3.0263822857205924,1.8660990484402825e-13,3.2830294287598504e-11
1557810_at,0.6912601122528272,1.870723451042184e-13,3.2830294287598504e-11
1557300_s_at,1.4811966587358598,1.8858630284637422e-13,3.298990968927006e-11
226549_at,2.8395907472437805,1.8980332902218513e-13,3.307999643832005e-11
218414_s_at,2.1111947776826936,1.9031347004585089e-13,3.307999643832005e-11
40020_at,1.1741186125079204,1.9563626809779687e-13,3.3897244052411604e-11
230187_s_at,1.6230437548099563,1.976076777198609e-13,3.4130472918583195e-11
50965_at,1.9038133193574627,2.0573397278473989e-13,3.5421938487754945e-11
201377_at,1.224827482868779,2.0891995128542689e-13,3.585736484656388e-11
207711_at,1.514301202105203,2.142943554522151e-13,3.6549911331957654e-11
219474_at,1.9953993659095004,2.1427448902243967e-13,3.6549911331957654e-11
217769_s_at,-1.0627138122833717,2.1602130426260547e-13,3.672967839672506e-11
220521_s_at,0.9812790328433256,2.313419598600199e-13,3.921246219627337e-11
234222_at,1.7914192800526019,2.4343307632287234e-13,4.113416059636548e-11
239383_at,1.9821006815661741,2.453785884538634e-13,4.133493203464015e-11
242428_at,1.2411356119208152,2.603098343367751e-13,4.3715232148513376e-11
237750_at,0.5867675627171947,2.635604413100961e-13,4.41253537615452e-11
1556253_s_at,1.1102639334705868,2.6453509365541747e-13,4.415309136580743e-11
203155_at,1.227145423704747,2.747539484614564e-13,4.571888949109094e-11
219956_at,3.3985028148597243,2.779725999408518e-13,4.61138800369962e-11
211270_x_at,0.9585835574739825,2.84199714513439e-13,4.700404914675451e-11
237179_at,0.7047446844790755,2.862432539637874e-13,4.719900470721919e-11
236149_at,1.41013109933767,2.912119333666679e-13,4.7873662985600504e-11
214697_s_at,1.5300821265605196,2.967143004203848e-13,4.848613713366522e-11
232067_at,0.8905237722647041,2.9592141314244703e-13,4.848613713366522e-11
1556806_at,0.5027792694485305,2.997211433583951e-13,4.8831284427933876e-11
204408_at,1.0648843469773759,3.0075184302103336e-13,4.88533775007291e-11
209186_at,2.17119843055713,3.125174156241929e-13,5.061391106039414e-11
218959_at,2.5345819467664037,3.136255267870112e-13,5.0643099486710906e-11
1569453_a_at,1.3946434101549752,3.1503021080086575e-13,5.071986393893939e-11
1552622_s_at,2.104222457993216,3.2018070268692366e-13,5.1246752410409406e-11
238920_at,0.8751579266809935,3.194308888413966e-13,5.1246752410409406e-11
226706_at,1.660382747584273,3.212194991062868e-13,5.126268725649716e-11
242059_at,2.1803316182313353,3.299840630777112e-13,5.250787224116151e-11
233229_at,0.8539542876487558,3.3279976797134806e-13,5.2801972488686644e-11
219236_at,1.0154262144966064,3.5950146367043034e-13,5.6873131552662087e-11
242462_at,1.487632047832582,3.6457530437074123e-13,5.750912004985747e-11
1552937_s_at,1.0945730177986444,3.709755404083105e-13,5.835006922174403e-11
1565951_s_at,1.4179553597997745,3.735657585646007e-13,5.8588636599705e-11
1558078_at,2.318390018889705,3.756877254473424e-13,5.875260850197851e-11
228499_at,1.3094530173716068,3.874639525701768e-13,6.042112876379336e-11
233251_at,0.8455157356679872,3.997538972758139e-13,6.21600226764007e-11
204070_at,1.9203744106125535,4.1094399491970093e-13,6.371850084864306e-11
1556033_at,1.3734768640690014,4.2095720161440827e-13,6.508618443884643e-11
222620_s_at,1.5184444643065618,4.3935851418495333e-13,6.773940210649879e-11
232551_at,1.3374047870752284,4.4132141668217044e-13,6.785037070731318e-11
202181_at,1.6150274999994316,4.556309630002956e-13,6.985360204941892e-11
232370_at,1.4066089615492068,4.749771052435571e-13,7.261561744282381e-11
1560060_s_at,1.7374113505831446,4.833511316707015e-13,7.368944529456764e-11
235112_at,2.164455994021491,4.857626581419145e-13,7.38508081301603e-11
209326_at,2.308406938780543,4.962043929611592e-13,7.522872100951975e-11
225170_at,1.0591849328631184,5.136762601890655e-13,7.766187425168701e-11
241937_s_at,1.6982835798099547,5.151059048781089e-13,7.766288724403952e-11
221989_at,1.795341312277145,5.193986920097764e-13,7.809438350193275e-11
229385_s_at,1.2693921732290705,5.217218104108006e-13,7.822817222640409e-11
217804_s_at,0.9970672813139148,5.246510333286346e-13,7.845185958368095e-11
201340_s_at,2.617863442861991,5.396392739578824e-13,8.047260091078486e-11
204811_s_at,1.10629752617195,5.575921442887891e-13,8.292321973607036e-11
240824_at,0.646359852269232,5.883577951976895e-13,8.714795921865523e-11
235651_at,2.0500108747822363,5.89193590056318e-13,8.714795921865523e-11
37512_at,0.604445443919118,5.919767283996896e-13,8.732296718736935e-11
220066_at,1.136927987608031,5.962185531864209e-13,8.771162375838725e-11
237317_at,0.922541051081446,6.022480182677009e-13,8.836046932535712e-11
1562230_at,0.6322063596940022,6.123386230448833e-13,8.960007964387852e-11
240498_at,1.8363662131125587,6.240554409929965e-13,9.107037944908223e-11
236274_at,1.2238816859519241,6.283160604202735e-13,9.144763269780828e-11
